date,year,index_price,jan_price,jan_price_monthly
1871-01-01,1871,4.44,4.44,4.44
1871-02-01,1871,4.5,4.44,NA
1871-03-01,1871,4.61,4.44,NA
1871-04-01,1871,4.74,4.44,NA
1871-05-01,1871,4.86,4.44,NA
1871-06-01,1871,4.82,4.44,NA
1871-07-01,1871,4.73,4.44,NA
1871-08-01,1871,4.79,4.44,NA
1871-09-01,1871,4.84,4.44,NA
1871-10-01,1871,4.59,4.44,NA
1871-11-01,1871,4.64,4.44,NA
1871-12-01,1871,4.74,4.44,NA
1872-01-01,1872,4.86,4.86,4.86
1872-02-01,1872,4.88,4.86,NA
1872-03-01,1872,5.04,4.86,NA
1872-04-01,1872,5.18,4.86,NA
1872-05-01,1872,5.18,4.86,NA
1872-06-01,1872,5.13,4.86,NA
1872-07-01,1872,5.1,4.86,NA
1872-08-01,1872,5.04,4.86,NA
1872-09-01,1872,4.95,4.86,NA
1872-10-01,1872,4.97,4.86,NA
1872-11-01,1872,4.95,4.86,NA
1872-12-01,1872,5.07,4.86,NA
1873-01-01,1873,5.11,5.11,5.11
1873-02-01,1873,5.15,5.11,NA
1873-03-01,1873,5.11,5.11,NA
1873-04-01,1873,5.04,5.11,NA
1873-05-01,1873,5.05,5.11,NA
1873-06-01,1873,4.98,5.11,NA
1873-07-01,1873,4.97,5.11,NA
1873-08-01,1873,4.97,5.11,NA
1873-09-01,1873,4.59,5.11,NA
1873-10-01,1873,4.19,5.11,NA
1873-11-01,1873,4.04,5.11,NA
1873-12-01,1873,4.42,5.11,NA
1874-01-01,1874,4.66,4.66,4.66
1874-02-01,1874,4.8,4.66,NA
1874-03-01,1874,4.73,4.66,NA
1874-04-01,1874,4.6,4.66,NA
1874-05-01,1874,4.48,4.66,NA
1874-06-01,1874,4.46,4.66,NA
1874-07-01,1874,4.46,4.66,NA
1874-08-01,1874,4.47,4.66,NA
1874-09-01,1874,4.54,4.66,NA
1874-10-01,1874,4.53,4.66,NA
1874-11-01,1874,4.57,4.66,NA
1874-12-01,1874,4.54,4.66,NA
1875-01-01,1875,4.54,4.54,4.54
1875-02-01,1875,4.53,4.54,NA
1875-03-01,1875,4.59,4.54,NA
1875-04-01,1875,4.65,4.54,NA
1875-05-01,1875,4.47,4.54,NA
1875-06-01,1875,4.38,4.54,NA
1875-07-01,1875,4.39,4.54,NA
1875-08-01,1875,4.41,4.54,NA
1875-09-01,1875,4.37,4.54,NA
1875-10-01,1875,4.3,4.54,NA
1875-11-01,1875,4.37,4.54,NA
1875-12-01,1875,4.37,4.54,NA
1876-01-01,1876,4.46,4.46,4.46
1876-02-01,1876,4.52,4.46,NA
1876-03-01,1876,4.51,4.46,NA
1876-04-01,1876,4.34,4.46,NA
1876-05-01,1876,4.18,4.46,NA
1876-06-01,1876,4.15,4.46,NA
1876-07-01,1876,4.1,4.46,NA
1876-08-01,1876,3.93,4.46,NA
1876-09-01,1876,3.69,4.46,NA
1876-10-01,1876,3.67,4.46,NA
1876-11-01,1876,3.6,4.46,NA
1876-12-01,1876,3.58,4.46,NA
1877-01-01,1877,3.55,3.55,3.55
1877-02-01,1877,3.34,3.55,NA
1877-03-01,1877,3.17,3.55,NA
1877-04-01,1877,2.94,3.55,NA
1877-05-01,1877,2.94,3.55,NA
1877-06-01,1877,2.73,3.55,NA
1877-07-01,1877,2.85,3.55,NA
1877-08-01,1877,3.05,3.55,NA
1877-09-01,1877,3.24,3.55,NA
1877-10-01,1877,3.31,3.55,NA
1877-11-01,1877,3.26,3.55,NA
1877-12-01,1877,3.25,3.55,NA
